0,757,344,959,661,440
1,754,529,484,626,41
2,431,722,747,434,318
3,872,410,518,57,78
4,613,132,916,931,759
5,98,640,172,459,532
6,495,427,470,203,35
7,209,104,15,880,831
8,414,944,887,381,884
9,517,370,570,384,167
10,135,155,432,605,464
11,625,806,558,98,444
12,699,424,171,892,1000
13,134,645,333,44,77
14,487,286,665,929,1015
15,319,263,7,422,831
16,974,512,207,262,714
17,378,454,130,860,330
18,205,102,409,939,756
19,53,618,889,1021,599
20,232,333,539,474,77
21,1038,1003,354,366,254
22,973,449,672,323,841
23,141,532,459,785,462
24,585,67,347,981,623
25,586,689,301,797,322
26,542,628,446,778,0
27,483,684,685,595,728
28,316,633,435,24,67
29,485,451,167,509,481
30,415,562,230,491,1029
31,589,866,46,535,107
32,245,145,352,38,257
33,231,761,549,1000,381
34,709,534,928,574,300
35,992,420,175,829,703
36,544,99,686,997,403
37,537,588,45,318,0
38,352,816,84,548,949
39,404,123,759,259,683
40,176,964,1032,1003,396
41,484,1,150,269,685
42,689,461,87,161,349
43,553,104,112,831,917
44,645,878,149,13,187
45,118,998,466,530,559
46,753,535,31,589,354
47,747,434,453,595,1018
48,525,389,232,387,86
49,787,498,938,570,740
50,649,90,763,286,89
51,403,165,532,23,141
52,676,850,281,111,1007
53,889,618,19,290,1021
54,1041,718,922,329,797
55,558,148,498,644,0
56,472,431,777,253,867
57,347,981,781,841,379
58,181,993,44,418,85
59,908,637,852,313,593
60,638,734,895,868,455
61,642,118,537,259,701
62,79,573,597,782,837
63,633,916,531,68,863
64,557,244,310,862,272
65,1026,797,936,272,673
66,641,854,378,844,30
67,916,841,981,585,24
68,108,531,63,595,293
69,492,619,143,590,190
70,16,207,974,940,420
71,327,214,115,900,631
72,209,291,112,831,441
73,323,657,986,924,666
74,404,123,1010,738,683
75,228,676,619,456,409
76,0,1,2,3,4
77,333,877,550,290,706
78,410,3,872,459,786
79,62,564,952,875,394
80,688,122,941,380,717
81,646,1026,936,259,496
82,906,254,3,752,89
83,772,873,900,926,136
84,38,816,801,312,336
85,2,781,323,983,58
86,921,627,1015,984,286
87,631,722,115,214,71
88,428,427,579,303,881
89,568,333,77,90,290
90,89,568,50,474,649
91,1005,522,418,506,221
92,154,847,513,252,226
93,466,888,274,80,392
94,741,68,868,269,430
95,0,1,2,3,4
96,646,326,312,373,220
97,978,927,427,878,843
98,5,162,398,133,640
99,36,544,686,997,344
100,716,194,41,961,289
101,918,779,0,1,2
102,205,1007,18,162,111
103,488,902,711,971,318
104,7,831,15,209,263
105,924,657,952,323,666
106,391,17,807,999,708
107,351,533,856,89,240
108,68,901,70,267,496
109,0,1,2,3,4
110,778,258,670,542,1011
111,939,1007,1032,52,850
112,831,291,441,72,319
113,938,606,446,629,511
114,987,637,692,587,909
115,214,71,87,688,631
116,0,1,2,3,4
117,624,460,486,390,44
118,642,61,905,181,537
119,927,248,186,217,668
120,560,622,300,985,200
121,944,180,168,793,395
122,427,782,470,579,495
123,683,404,74,1010,738
124,612,769,749,760,1033
125,367,587,288,1023,165
126,429,165,283,254,257
127,474,649,419,448,394
128,700,274,163,790,941
129,213,301,811,1000,892
130,17,588,633,100,875
131,638,734,180,349,66
132,4,915,576,480,931
133,307,98,459,785,509
134,13,333,645,77,44
135,155,10,432,517,446
136,586,633,229,845,926
137,143,190,585,228,244
138,311,174,238,349,148
139,386,0,1,2,3
140,1022,726,958,219,809
141,23,459,785,532,842
142,805,147,681,324,146
143,984,190,144,179,1015
144,287,179,143,984,921
145,446,752,621,972,269
146,273,147,957,806,681
147,273,146,782,307,427
148,926,931,613,343,745
149,878,44,645,187,280
150,269,720,1,745,484
151,270,527,996,451,784
152,272,1026,844,256,555
153,269,720,1,598,150
154,252,222,521,92,513
155,135,432,10,605,531
156,752,807,243,956,521
157,850,196,1007,266,658
158,797,309,152,1,745
159,127,769,17,483,588
160,273,146,147,142,758
161,564,473,173,586,597
162,98,769,398,102,300
163,790,392,1035,128,274
164,256,237,844,65,886
165,267,365,547,533,126
166,958,986,717,961,324
167,404,917,683,738,517
168,121,904,730,449,676
169,382,854,947,502,674
170,767,490,822,778,245
171,803,699,982,892,616
172,617,5,571,500,482
173,602,549,564,761,161
174,644,638,138,311,395
175,35,810,940,829,296
176,40,1003,97,1032,964
177,707,335,551,629,409
178,644,24,886,365,194
179,144,921,143,190,984
180,944,390,152,6,66
181,58,221,528,118,112
182,371,883,223,972,363
183,259,520,634,809,202
184,886,393,721,849,775
185,193,674,373,385,81
186,119,117,172,1029,961
187,280,149,44,645,13
188,409,423,148,833,534
189,980,0,1,2,3
190,143,984,179,921,144
191,632,190,179,143,921
192,276,233,761,597,602
193,249,326,66,185,292
194,716,100,826,668,392
195,199,0,1,2,3
196,850,157,365,1007,809
197,75,422,781,217,940
198,463,380,162,145,180
199,765,333,993,134,13
200,985,120,622,851,300
201,0,1,2,3,4
202,183,259,665,326,196
203,603,420,512,35,296
204,1039,699,171,803,982
205,102,18,850,939,162
206,281,619,521,632,699
207,659,714,16,296,829
208,279,832,396,469,925
209,72,7,291,112,422
210,615,930,125,543,882
211,137,993,99,134,600
212,967,278,648,821,566
213,129,301,803,171,453
214,327,115,71,857,631
215,149,44,943,279,280
216,747,868,1021,661,588
217,930,797,119,520,206
218,414,209,49,0,1
219,998,1022,396,240,451
220,936,326,496,436,96
221,684,485,497,723,467
222,694,154,1000,252,956
223,745,626,1,529,598
224,531,875,81,536,11
225,391,999,591,552,693
226,521,513,315,847,252
227,1036,509,726,930,155
228,298,541,286,665,137
229,500,395,498,571,318
230,30,562,491,1036,626
231,33,549,353,564,397
232,394,20,448,896,474
233,192,276,602,761,476
234,855,506,366,578,581
235,314,671,947,501,942
236,563,366,855,234,953
237,164,844,144,287,244
238,311,138,529,223,904
239,0,1,2,3,4
240,610,219,107,876,485
241,562,192,56,44,961
242,597,602,233,549,761
243,841,916,981,57,67
244,969,137,671,64,237
245,365,583,862,66,467
246,505,756,663,969,320
247,292,998,480,629,1022
248,119,807,927,752,213
249,671,496,193,65,373
250,0,1,2,3,4
251,514,682,967,68,586
252,154,222,1000,847,513
253,472,777,56,431,86
254,1003,21,366,988,570
255,147,912,503,579,427
256,152,164,844,974,949
257,537,471,306,126,678
258,468,1027,110,670,542
259,698,183,789,634,520
260,332,65,399,81,996
261,0,1,2,3,4
262,974,16,659,175,714
263,319,15,880,7,112
264,696,754,387,1021,377
265,307,942,650,1040,450
266,320,157,676,730,850
267,593,165,533,692,410
268,0,1,2,3,4
269,150,720,153,677,345
270,151,527,526,1031,418
271,676,279,523,280,951
272,152,1026,844,949,65
273,160,146,147,307,942
274,128,700,392,163,741
275,20,940,512,70,495
276,192,602,233,761,353
277,398,648,627,576,632
278,967,212,985,733,606
279,208,271,215,1016,149
280,187,149,645,44,878
281,206,52,619,831,312
282,439,857,343,0,1
283,995,466,945,930,990
284,509,17,757,0,898
285,405,844,742,821,868
286,763,86,1015,143,984
287,144,840,921,993,299
288,367,497,684,528,368
289,941,100,329,171,59
290,812,77,333,706,89
291,441,831,209,112,72
292,883,247,868,193,813
293,68,805,689,971,520
294,923,350,737,853,21
295,790,888,519,713,817
296,207,16,512,175,810
297,424,301,453,722,306
298,886,867,839,849,775
299,853,287,708,134,680
300,887,851,985,120,622
301,129,434,322,25,747
302,339,977,988,773,849
303,427,88,943,396,969
304,44,265,478,817,140
305,749,938,759,49,779
306,1036,747,463,297,471
307,273,133,265,141,942
308,448,429,165,522,534
309,645,361,753,929,326
310,671,525,369,14,680
311,238,138,174,66,148
312,436,801,96,373,949
313,702,471,440,259,59
314,802,957,671,501,764
315,521,847,154,226,252
316,28,786,981,67,841
317,492,743,691,818,106
318,611,103,2,66,634
319,263,831,15,112,422
320,266,784,453,527,730
321,555,839,298,897,867
322,301,578,25,409,956
323,1040,73,924,666,657
324,681,146,819,273,142
325,0,1,2,3,4
326,646,96,801,373,220
327,71,214,900,390,460
328,141,23,849,459,555
